"Kota","Tanggal","Kategori","SubKategori","Rating.round","Keterangan","UnitTerjual_sum","UnitTerjual_mean","Harga_sum","Harga_mean","Diskon_sum","Diskon_mean","OmsetPenjualan_sum","OmsetPenjualan_mean","jumlahProduk"
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","1","None",22,1.1,2069044,103452.2,0,0,2372893,118644.65,20
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","2","Grosir",2,1,187000,93500,0,0,187000,93500,2
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","2","None",46,2.3,2056572,102828.6,0,0,4655140,232757,20
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","3","Grosir",13,1.44444444444444,689997,76666.3333333333,0,0,951994,105777.111111111,9
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","3","None",150,2.72727272727273,5053088,91874.3272727273,0.7,0.0127272727272727,11017978,200326.872727273,55
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","4","Grosir",482,11.2093023255814,2669909,62090.9069767442,0,0,20484082,476374,43
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","4","None",6182,30.0097087378641,18096836,87848.7184466019,0.72,0.00349514563106796,397805548,1931094.89320388,206
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","5","Grosir",3899,37.4903846153846,7487944,71999.4615384615,0,0,283126959,2722374.60576923,104
"Jakarta Barat","07/05/2021","Atasan Wanita","Blouse","5","None",20171,34.1881355932203,56837096,96334.0610169492,7.36,0.0124745762711864,1503873699,2548938.47288136,590
"Jakarta Barat","07/05/2021","Atasan Wanita","Manset","1","None",21,3,585500,83642.8571428571,0,0,1595000,227857.142857143,7
"Jakarta Barat","07/05/2021","Atasan Wanita","Manset","2","Grosir",1,1,15500,15500,0,0,15500,15500,1
"Jakarta Barat","07/05/2021","Atasan Wanita","Manset","2","None",8,2.66666666666667,78400,26133.3333333333,0,0,213300,71100,3
"Jakarta Barat","07/05/2021","Atasan Wanita","Manset","3","Grosir",47,47,12000,12000,0,0,564000,564000,1
"Jakarta Barat","07/05/2021","Atasan Wanita","Manset","3","None",220,11.5789473684211,515940,27154.7368421053,0,0,2927390,154073.157894737,19
